device_id,organization_id,device_type,operating_system,managed_by_it
5115,3,Mobile,iOS 18,true
5116,3,Laptop,Windows 11,true
5117,3,Mobile,iOS 18,false
5118,3,Mobile,iOS 18,false
5119,3,Laptop,Windows 10,true
5120,3,Mobile,iOS 18,false
5121,3,Laptop,macOS 15,true
5122,3,Laptop,Ubuntu 24.04,true
5123,3,Mobile,Android 15,true
5124,3,Laptop,Ubuntu 24.04,true
5125,3,Laptop,Ubuntu 24.04,true
5126,3,Laptop,Ubuntu 24.04,true
5127,3,Laptop,Windows 10,true
5128,3,Mobile,iOS 18,false
5129,3,Laptop,Ubuntu 24.04,true
5130,3,Desktop,Windows 11,true
5131,3,Laptop,Windows 11,true
5132,3,Mobile,Android 15,true
5133,4,Laptop,Ubuntu 24.04,true
5134,4,Mobile,Android 15,false
5135,4,Tablet,Android 15,true
5136,4,Laptop,Windows 10,true
5137,4,Laptop,Windows 10,true
5138,4,Tablet,Android 15,false
5139,4,Laptop,macOS 15,false
5140,4,Laptop,Windows 10,true
5141,4,Laptop,Windows 11,true
5142,4,Laptop,Windows 10,true
5143,4,Desktop,Ubuntu 24.04,true
5144,4,Laptop,macOS 15,true
5145,4,Laptop,Ubuntu 24.04,true
5146,4,Mobile,Android 15,false
5147,4,Laptop,Windows 10,true
5148,4,Laptop,Windows 11,true
5149,4,Laptop,Ubuntu 24.04,true
5150,4,Desktop,macOS 15,true
5151,4,Desktop,Windows 11,true
5152,4,Laptop,Ubuntu 24.04,false
5153,4,Laptop,Windows 11,true
5154,4,Laptop,Windows 10,true
5155,4,Desktop,macOS 15,true
5156,4,Laptop,macOS 15,true
5157,4,Laptop,Ubuntu 24.04,false
5158,4,Laptop,Windows 10,true
5159,4,Laptop,Ubuntu 24.04,true
5160,4,Laptop,Windows 10,true
5161,4,Laptop,macOS 15,true
5162,4,Tablet,Android 15,true
5163,5,Mobile,iOS 18,true
5164,5,Mobile,iOS 18,false
5165,5,Laptop,Windows 11,true
5166,5,Laptop,Ubuntu 24.04,true
5167,5,Mobile,Android 15,true
5168,5,Laptop,Ubuntu 24.04,true
5169,5,Mobile,Android 15,false
5170,5,Mobile,iOS 18,true
5171,5,Tablet,iPadOS 18,true
5172,5,Laptop,Windows 11,true
5173,5,Laptop,Ubuntu 24.04,true
5174,5,Laptop,Ubuntu 24.04,true
5175,5,Laptop,macOS 15,true
5176,5,Laptop,Windows 11,true
5177,5,Desktop,macOS 15,true
5178,5,Mobile,iOS 18,false
5179,5,Laptop,Ubuntu 24.04,true
5180,5,Laptop,macOS 15,true
5181,5,Tablet,iPadOS 18,false
5182,5,Desktop,macOS 15,true
5183,6,Mobile,iOS 18,true
5184,6,Laptop,macOS 15,true
5185,6,Laptop,Windows 10,true
5186,6,Laptop,Windows 11,true
5187,6,Laptop,Ubuntu 24.04,true
5188,6,Desktop,Ubuntu 24.04,true
5189,6,Laptop,Windows 11,true
5190,6,Mobile,Android 15,false
5191,6,Mobile,Android 15,false
5192,6,Mobile,Android 15,false
5193,6,Mobile,iOS 18,false
5194,6,Laptop,Windows 11,false
5195,6,Mobile,iOS 18,false
5196,6,Laptop,macOS 15,true
5197,6,Tablet,iPadOS 18,false
5198,6,Laptop,macOS 15,true
5199,6,Mobile,Android 15,true
5200,6,Mobile,iOS 18,true
5201,6,Laptop,Windows 11,true
5202,6,Mobile,Android 15,true
5203,6,Mobile,iOS 18,false
5204,6,Laptop,Windows 11,true
5205,6,Laptop,macOS 15,true
5206,6,Laptop,Windows 10,true
5207,6,Tablet,Android 15,false
5208,6,Laptop,macOS 15,true
5209,6,Laptop,Windows 11,true
5210,6,Laptop,Windows 10,true
5211,7,Desktop,macOS 15,true
5212,7,Desktop,Windows 11,true
5213,7,Tablet,Android 15,false
5214,7,Mobile,Android 15,false
5215,7,Laptop,macOS 15,true
5216,7,Laptop,Windows 10,true
5217,7,Mobile,Android 15,true
5218,7,Mobile,iOS 18,true
5219,7,Laptop,Windows 10,true
5220,7,Laptop,macOS 15,true
5221,7,Mobile,Android 15,true
5222,7,Laptop,Windows 11,true
5223,7,Laptop,macOS 15,true
5224,7,Laptop,Windows 11,true
5225,7,Laptop,Ubuntu 24.04,true
5226,7,Mobile,iOS 18,false
5227,7,Tablet,Android 15,true
5228,7,Laptop,Ubuntu 24.04,true
5229,7,Laptop,Windows 11,true
5230,7,Laptop,Ubuntu 24.04,false
5231,7,Laptop,macOS 15,true
5232,7,Laptop,Ubuntu 24.04,true
5233,7,Laptop,Windows 11,true
5234,7,Mobile,Android 15,false
5235,7,Laptop,Ubuntu 24.04,true
5236,7,Desktop,macOS 15,true
5237,7,Laptop,Ubuntu 24.04,true
5238,7,Laptop,Windows 11,true
5239,7,Laptop,macOS 15,true
5240,7,Laptop,macOS 15,true
5241,7,Laptop,Ubuntu 24.04,true
5242,7,Laptop,Windows 10,true
5243,7,Mobile,Android 15,true
5244,7,Mobile,iOS 18,true
5245,7,Desktop,Windows 10,true
5246,7,Desktop,macOS 15,true
5247,7,Laptop,Ubuntu 24.04,true
5248,7,Laptop,Windows 11,true
5249,8,Desktop,Ubuntu 24.04,true
5250,8,Mobile,iOS 18,false
5251,8,Laptop,Windows 10,true
5252,8,Desktop,Windows 10,true
5253,8,Mobile,Android 15,true
5254,8,Mobile,iOS 18,true
5255,8,Mobile,iOS 18,true
5256,8,Laptop,Windows 10,true
5257,8,Laptop,Ubuntu 24.04,true
5258,8,Mobile,iOS 18,false
5259,8,Laptop,macOS 15,false
5260,8,Laptop,Ubuntu 24.04,true
5261,8,Laptop,macOS 15,true
5262,8,Desktop,macOS 15,true
5263,8,Laptop,Windows 10,true
5264,8,Laptop,macOS 15,true
5265,8,Mobile,Android 15,true
5266,8,Laptop,macOS 15,true
