user_id,organization_id,username,department,job_title,is_active
1077,2,msmith,IT,Network Administrator,true
1078,2,hjohnson,IT,IT Manager,true
1079,3,nmoore,Sales,Account Executive,true
1080,3,qdavis,IT,IT Manager,false
1081,3,qanderson,Operations,Operations Manager,true
1082,3,cyoung,Research,Research Engineer,true
1083,3,nthomas,Marketing,Content Strategist,true
1084,3,ahall,Legal,Legal Counsel,true
1085,3,ethomas,Sales,Account Executive,true
1086,3,rmoore,Customer Support,Support Manager,true
1087,3,nhall,Engineering,Engineering Manager,true
1088,3,shall,IT,Network Administrator,true
1089,3,ehall,Finance,Accountant,true
1090,3,tkim,Research,Research Analyst,true
1091,3,qallen,Marketing,Marketing Manager,true
1092,3,jwalker,Marketing,Marketing Specialist,true
1093,3,sgarcia,Customer Support,Customer Advocate,false
1094,3,egreen,Customer Support,Customer Advocate,true
1095,3,ohall,Operations,Operations Manager,true
1096,3,nrobinson,Customer Support,Customer Advocate,true
1097,3,nscott,Engineering,Engineering Manager,true
1098,3,elopez,Sales,Solutions Consultant,true
1099,3,rjackson,IT,Network Administrator,true
1100,3,mmartinez,Customer Support,Support Specialist,true
1101,3,sthomas,Marketing,Content Strategist,true
1102,3,lmartinez,Sales,Solutions Consultant,true
1103,3,lthomas,Research,Research Analyst,true
1104,3,awhite,IT,Network Administrator,true
1105,3,ahill,Customer Support,Customer Advocate,true
1106,3,swhite,Engineering,Engineering Manager,true
1107,4,amartinez,Marketing,Marketing Manager,true
1108,4,ogreen,Engineering,Software Engineer,true
1109,4,jlee,Marketing,Content Strategist,true
1110,4,pjohnson,Finance,Controller,true
1111,4,nmartinez,Legal,Legal Operations Manager,true
1112,4,ldavis,Customer Support,Customer Advocate,false
1113,4,manderson,Engineering,Software Engineer,true
1114,4,tking,IT,IT Support Specialist,true
1115,4,jrobinson,Engineering,Senior Software Engineer,true
1116,4,clewis,Research,Research Manager,true
1117,4,cgarcia,Sales,Account Executive,true
1118,4,swilson,IT,Systems Administrator,true
1119,4,athomas,Research,Data Scientist,true
1120,4,epatel,Marketing,Demand Generation Manager,true
1121,4,cwright,Research,Research Analyst,true
1122,4,mhall,Human Resources,HR Manager,false
1123,4,llopez,Operations,Facilities Specialist,true
1124,4,oallen,Engineering,Senior Software Engineer,true
1125,4,rrobinson,Customer Support,Customer Advocate,true
1126,4,rmartinez,Customer Support,Support Specialist,true
1127,4,nkim,Legal,Legal Operations Manager,true
1128,4,thill,Finance,Finance Manager,true
1129,4,hmartinez,Finance,Controller,true
1130,4,zbrown,IT,IT Manager,true
1131,5,eallen,Operations,Facilities Specialist,true
1132,5,jlee,Finance,Finance Manager,true
1133,5,ehall,Sales,Solutions Consultant,true
1134,5,pmoore,Research,Research Engineer,true
1135,5,odavis,Finance,Accountant,true
1136,5,qmartinez,IT,IT Support Specialist,true
1137,5,sdavis,Legal,Compliance Analyst,true
1138,5,qwilson,Engineering,Senior Software Engineer,true
1139,5,ddavis,IT,Systems Administrator,true
1140,5,dwalker,Customer Support,Customer Advocate,true
1141,5,alewis,Finance,Finance Manager,true
1142,5,pjohnson,Finance,Finance Manager,true
1143,5,cthomas,Operations,Operations Analyst,true
1144,5,elee,Research,Research Analyst,true
1145,5,lrobinson,Sales,Sales Development Representative,true
1146,5,ajackson,Research,Research Engineer,true
1147,6,mwilson,Sales,Account Executive,true
1148,6,aking,Engineering,Senior Software Engineer,true
1149,6,rgarcia,Engineering,Software Engineer,true
1150,6,ljackson,Marketing,Marketing Manager,true
1151,6,swilson,Marketing,Marketing Manager,true
1152,6,sgreen,Finance,Accountant,true
1153,6,swalker,Engineering,QA Engineer,true
1154,6,cjohnson,Engineering,QA Engineer,true
1155,6,bjackson,Engineering,QA Engineer,true
1156,6,rharris,Operations,Facilities Specialist,true
1157,6,tscott,Operations,Operations Manager,true
1158,6,jlee,Engineering,Software Engineer,true
1159,6,rlewis,IT,IT Support Specialist,true
1160,6,ngreen,Finance,Finance Manager,true
1161,6,tlee,Operations,Facilities Specialist,true
1162,6,ahill,Engineering,Engineering Manager,true
1163,6,bhall,Research,Research Analyst,true
1164,6,ndavis,Finance,Finance Manager,true
1165,6,ahall,Customer Support,Customer Advocate,true
1166,6,qharris,Human Resources,People Operations Specialist,true
1167,6,mbrown,Finance,Accountant,true
1168,6,nscott,Marketing,Marketing Specialist,false
1169,7,eallen,Engineering,Software Engineer,true
1170,7,rkim,Research,Research Analyst,true
1171,7,cwalker,Customer Support,Customer Advocate,true
1172,7,bharris,Marketing,Marketing Manager,true
1173,7,skim,Operations,Operations Coordinator,true
1174,7,wyoung,Customer Support,Support Specialist,true
1175,7,lmartinez,Research,Research Engineer,true
1176,7,byoung,Finance,Finance Manager,true
1177,7,nclark,Operations,Operations Manager,true
1178,7,ajackson,Research,Data Scientist,true
1179,7,elewis,Human Resources,People Operations Specialist,false
1180,7,sallen,Research,Research Manager,true
1181,7,jwhite,Research,Data Scientist,true
1182,7,mhill,IT,IT Manager,true
1183,7,osmith,Legal,Legal Operations Manager,true
1184,7,jlee,Operations,Operations Manager,true
1185,7,ewalker,IT,Network Administrator,true
1186,7,amartinez,Sales,Solutions Consultant,true
1187,7,trobinson,IT,Network Administrator,true
1188,7,rmoore,Research,Research Analyst,true
1189,7,escott,IT,Network Administrator,true
1190,7,banderson,Human Resources,Recruiter,true
1191,7,llewis,Marketing,Content Strategist,true
1192,7,rrobinson,Customer Support,Technical Support Engineer,true
1193,7,jkim,Operations,Operations Manager,true
1194,7,ascott,Customer Support,Support Manager,true
1195,7,slee,Operations,Operations Manager,true
1196,7,ewalker2,Research,Research Engineer,true
1197,7,ebrown,Research,Research Manager,true
1198,7,alewis,Human Resources,HR Manager,true
1199,8,bsmith,Research,Research Manager,true
1200,8,mgreen,Sales,Solutions Consultant,true
1201,8,bking,Customer Support,Support Manager,true
1202,8,qrobinson,Finance,Accountant,true
1203,8,twilson,Customer Support,Support Specialist,true
1204,8,dlee,Research,Research Engineer,true
1205,8,pbrown,Engineering,QA Engineer,true
1206,8,rlopez,Engineering,Engineering Manager,true
1207,8,byoung,Customer Support,Support Specialist,true
1208,8,cnguyen,Legal,Legal Counsel,true
1209,8,ehill,Customer Support,Support Manager,true
1210,8,esmith,Finance,Financial Analyst,true
1211,8,hlewis,Human Resources,HR Manager,true
1212,8,swhite,IT,Network Administrator,true
