event_id,event_timestamp,user_id,device_id,ip_address,application_name,authentication_method,authentication_result
900074,2026-06-22T03:28:19Z,1038,5008,203.0.113.155,Salesforce,Password,Success
900413,2026-06-22T03:49:31Z,1203,5259,198.51.100.152,Microsoft 365,Password,MFA Timeout
900216,2026-06-22T04:17:08Z,1104,5098,198.51.100.80,GitHub Enterprise,Password,Success
900112,2026-06-22T04:27:57Z,1053,5075,203.0.113.102,Google Workspace,Password,Success
900409,2026-06-22T04:39:53Z,1201,5257,198.51.100.196,Slack,Password,Success
900263,2026-06-22T04:40:11Z,1130,5137,198.51.100.219,,Password,Success
900299,2026-06-22T04:46:50Z,1148,5184,198.51.100.208,Google Workspace,Passkey,Success
900277,2026-06-22T04:49:20Z,1139,5166,198.51.100.100,Slack,Passkey,Success
900006,2026-06-22T04:58:00Z,1003,5013,203.0.113.155,Salesforce,SSO,Success
900036,2026-06-22T05:12:28Z,1017,5025,192.0.2.148,Microsoft 365,SSO,Success
900088,2026-06-22T05:14:42Z,1045,5064,203.0.113.1,AWS Console,Password,Success
900160,2026-06-22T05:16:35Z,1075,5067,198.51.100.5,Workday,MFA Push,Success
900028,2026-06-22T05:29:45Z,1013,5052,198.51.100.173,Workday,SSO,Success
900348,2026-06-22T05:32:21Z,1175,5229,203.0.113.171,Google Workspace,SSO,MFA Denied
900394,2026-06-22T05:34:27Z,1194,5226,203.0.113.95,Workday,SSO,Invalid Password
900287,2026-06-22T05:34:44Z,1143,5165,198.51.100.143,Internal Admin Portal,SSO,Success
900113,2026-06-22T05:35:41Z,1054,5071,198.51.100.164,Workday,Passkey,Success
900001,2026-06-22T05:36:38Z,1001,5021,192.0.2.106,GitHub Enterprise,Password,Success
900271,2026-06-22T05:44:18Z,1136,5165,192.0.2.176,Workday,Password,Success
900229,2026-06-22T05:50:45Z,1107,5152,192.0.2.242,Workday,MFA Push,Success
900305,2026-06-22T05:54:27Z,1151,5203,203.0.113.150,Workday,MFA Push,Success
900030,2026-06-22T05:55:44Z,1013,5003,192.0.2.28,ServiceNow,SSO,Success
900064,2026-06-22T06:04:31Z,1035,5024,198.51.100.198,Microsoft 365,MFA Push,Success
900290,2026-06-22T06:19:36Z,1145,5172,203.0.113.3,AWS Console,SSO,Invalid Password
900225,2026-06-22T06:24:46Z,1106,5099,203.0.113.17,Internal Admin Portal,SSO,Success
900349,2026-06-22T06:28:21Z,1175,5241,198.51.100.159,Microsoft 365,Password,Success
900012,2026-06-22T06:32:29Z,1005,5040,203.0.113.142,,OAuth,Success
900252,2026-06-22T06:46:07Z,1124,5159,198.51.100.247,VPN Portal,SSO,Success
900253,2026-06-22T06:57:40Z,1124,5141,203.0.113.158,VPN Portal,SSO,Success
900122,2026-06-22T07:00:57Z,1057,5086,192.0.2.178,GitHub Enterprise,Password,Success
900314,2026-06-22T07:03:40Z,1158,5203,198.51.100.195,Salesforce,MFA Push,Success
900307,2026-06-22T07:06:43Z,1152,5190,192.0.2.241,Workday,Password,Success
900382,2026-06-22T07:06:44Z,1188,5232,203.0.113.77,Google Workspace,MFA Push,Success
900201,2026-06-22T07:12:09Z,1099,5107,203.0.113.133,Google Workspace,SSO,Success
900387,2026-06-22T07:12:23Z,1189,5226,198.51.100.82,VPN Portal,SSO,Success
900205,2026-06-22T07:28:56Z,1099,5116,198.51.100.108,Google Workspace,Passkey,Success
900320,2026-06-22T07:39:14Z,1160,5189,198.51.100.84,AWS Console,MFA Push,Success
900141,2026-06-22T07:44:06Z,1067,5063,192.0.2.66,Google Workspace,Password,Success
900114,2026-06-22T07:57:41Z,1055,5062,203.0.113.104,Slack,SSO,Success
900062,2026-06-22T07:59:27Z,1031,5040,192.0.2.31,Internal Admin Portal,Password,Success
900183,2026-06-22T08:00:45Z,1090,5098,192.0.2.177,Internal Admin Portal,MFA Push,Success
900347,2026-06-22T08:09:23Z,1173,5221,198.51.100.197,Slack,Password,Invalid Password
900378,2026-06-22T08:10:32Z,1187,5227,198.51.100.83,Google Workspace,Passkey,Success
900065,2026-06-22T08:14:47Z,1035,5003,192.0.2.46,Microsoft 365,Password,Success
900118,2026-06-22T08:18:29Z,1056,5083,192.0.2.121,Microsoft 365,SSO,Success
900279,2026-06-22T08:19:01Z,1139,5172,198.51.100.198,GitHub Enterprise,MFA Push,Success
900232,2026-06-22T08:20:35Z,1109,5143,198.51.100.156,ServiceNow,MFA Push,Success
900260,2026-06-22T08:29:05Z,1130,5155,198.51.100.163,VPN Portal,SSO,Success
900414,2026-06-22T08:30:29Z,1204,5257,203.0.113.244,Internal Admin Portal,Passkey,Success
900059,2026-06-22T08:30:49Z,1031,5038,198.51.100.130,Salesforce,Password,Success
900212,2026-06-22T08:31:48Z,1102,5098,203.0.113.96,AWS Console,SSO,Success
900268,2026-06-22T08:39:03Z,1133,5179,203.0.113.74,Salesforce,MFA Push,Success
900055,2026-06-22T08:40:47Z,1029,5027,192.0.2.36,Internal Admin Portal,Passkey,Success
900399,2026-06-22T08:44:01Z,1196,5222,203.0.113.79,Google Workspace,SSO,Success
900194,2026-06-22T08:44:53Z,1096,5116,203.0.113.239,Salesforce,MFA Push,Success
900150,2026-06-22T08:47:41Z,1069,5068,203.0.113.13,Slack,SSO,Success
900103,2026-06-22T08:49:06Z,1050,5087,203.0.113.156,ServiceNow,SSO,Success
900319,2026-06-22T08:52:50Z,1160,5202,192.0.2.128,VPN Portal,SSO,Success
900370,2026-06-22T08:57:53Z,1185,5234,198.51.100.113,VPN Portal,Password,Success
900403,2026-06-22T08:58:59Z,1200,5264,198.51.100.74,Salesforce,Password,Success
900272,2026-06-22T09:01:53Z,1136,5173,192.0.2.166,ServiceNow,OAuth,Success
900340,2026-06-22T09:07:30Z,1170,5245,203.0.113.208,Workday,MFA Push,Success
900082,2026-06-22T09:22:49Z,1044,5067,203.0.113.15,VPN Portal,Password,Success
900384,2026-06-22T09:22:50Z,1189,5230,192.0.2.107,Slack,SSO,Success
900177,2026-06-22T09:26:01Z,1082,5106,203.0.113.38,Internal Admin Portal,Passkey,Success
900386,2026-06-22T09:29:17Z,1189,5245,203.0.113.161,Internal Admin Portal,SSO,Success
900026,2026-06-22T09:30:20Z,1013,5026,203.0.113.201,ServiceNow,Password,Success
900298,2026-06-22T09:30:36Z,1148,5196,192.0.2.178,ServiceNow,OAuth,Success
900039,2026-06-22T09:36:24Z,1020,5032,203.0.113.43,Slack,SSO,Success
900337,2026-06-22T09:39:56Z,1169,5214,192.0.2.99,Slack,OAuth,Success
900021,2026-06-22T09:40:09Z,1011,5021,198.51.100.195,ServiceNow,Password,Success
900322,2026-06-22T09:44:23Z,1160,5197,203.0.113.157,GitHub Enterprise,OAuth,Success
900042,2026-06-22T09:49:34Z,1023,5024,203.0.113.56,Slack,SSO,Success
900274,2026-06-22T09:50:22Z,1138,5167,203.0.113.216,Workday,SSO,Success
900261,2026-06-22T09:50:32Z,1130,5138,198.51.100.145,AWS Console,MFA Push,Success
900121,2026-06-22T09:50:48Z,1057,5061,198.51.100.99,Internal Admin Portal,MFA Push,Success
900417,2026-06-22T09:51:58Z,1206,5253,198.51.100.115,ServiceNow,Passkey,Success
900139,2026-06-22T09:52:05Z,1066,5092,198.51.100.244,Workday,SSO,Success
900412,2026-06-22T09:53:10Z,1202,5257,192.0.2.135,Internal Admin Portal,SSO,Success
900135,2026-06-22T09:55:43Z,1064,5089,203.0.113.134,Internal Admin Portal,Password,Invalid Password
900175,2026-06-22T09:56:38Z,1082,,198.51.100.55,VPN Portal,MFA Push,Success
900270,2026-06-22T10:00:07Z,1134,,198.51.100.106,Salesforce,SSO,Success
900067,2026-06-22T10:03:11Z,1036,5034,198.51.100.199,Microsoft 365,OAuth,Success
900198,2026-06-22T10:08:03Z,1097,5125,203.0.113.199,Google Workspace,OAuth,Success
900215,2026-06-22T10:08:18Z,1102,5127,198.51.100.5,Internal Admin Portal,MFA Push,Success
900358,2026-06-22T10:08:22Z,1180,5228,198.51.100.75,ServiceNow,MFA Push,Success
900255,2026-06-22T10:10:12Z,1125,5146,203.0.113.253,Microsoft 365,OAuth,Invalid Password
900087,2026-06-22T10:10:46Z,1045,5093,203.0.113.228,Google Workspace,Passkey,Success
900338,2026-06-22T10:11:41Z,1169,5215,192.0.2.139,Slack,SSO,Success
900329,2026-06-22T10:12:24Z,1163,5185,192.0.2.238,Google Workspace,Passkey,Success
900404,2026-06-22T10:13:38Z,1200,5258,198.51.100.250,GitHub Enterprise,MFA Push,Success
900389,2026-06-22T10:15:51Z,1189,5240,192.0.2.52,Google Workspace,MFA Push,Success
900239,2026-06-22T10:18:50Z,1117,5137,198.51.100.68,ServiceNow,Password,Success
900137,2026-06-22T10:20:15Z,1066,5070,192.0.2.21,Microsoft 365,MFA Push,Success
900202,2026-06-22T10:20:50Z,1099,5114,192.0.2.16,Slack,SSO,Success
900330,2026-06-22T10:22:17Z,1164,5187,198.51.100.118,Microsoft 365,SSO,Success
900083,2026-06-22T10:22:58Z,1045,5097,192.0.2.215,ServiceNow,OAuth,Success
900027,2026-06-22T10:24:17Z,1013,5026,203.0.113.47,ServiceNow,Password,Success
900145,2026-06-22T10:26:38Z,1067,5068,192.0.2.36,Workday,MFA Push,Success
900383,2026-06-22T10:27:12Z,1188,5215,203.0.113.103,Slack,Password,Success
900393,2026-06-22T10:27:13Z,1193,5222,203.0.113.15,GitHub Enterprise,OAuth,Success
900049,2026-06-22T10:27:52Z,1027,5018,203.0.113.219,ServiceNow,SSO,Success
900339,2026-06-22T10:30:47Z,1169,5248,198.51.100.129,GitHub Enterprise,SSO,Success
900281,2026-06-22T10:34:28Z,1141,5163,192.0.2.110,Google Workspace,SSO,Success
900164,2026-06-22T10:35:05Z,1077,5075,192.0.2.48,GitHub Enterprise,MFA Push,Success
900233,2026-06-22T10:35:59Z,1109,5144,198.51.100.153,Google Workspace,MFA Push,Success
900179,2026-06-22T10:37:52Z,1085,5130,203.0.113.152,Workday,Password,Success
900106,2026-06-22T10:38:41Z,1051,5081,203.0.113.223,GitHub Enterprise,OAuth,Success
900029,2026-06-22T10:40:19Z,1013,5043,203.0.113.123,VPN Portal,SSO,Success
900350,2026-06-22T10:41:12Z,1176,5225,203.0.113.172,Workday,Password,Success
900226,2026-06-22T10:41:20Z,1107,5149,192.0.2.52,Salesforce,Password,Invalid Password
900357,2026-06-22T10:43:30Z,1180,5218,192.0.2.149,ServiceNow,MFA Push,Success
900136,2026-06-22T10:46:15Z,1064,5095,203.0.113.14,AWS Console,Password,Success
900159,2026-06-22T10:49:27Z,1075,5057,192.0.2.14,VPN Portal,Password,Success
900326,2026-06-22T10:49:40Z,1161,5191,198.51.100.128,Microsoft 365,Password,Success
900076,2026-06-22T10:50:08Z,1039,5004,203.0.113.241,GitHub Enterprise,Password,Success
900214,2026-06-22T10:51:58Z,1102,5115,192.0.2.219,Workday,Passkey,Success
900077,2026-06-22T10:52:04Z,1039,,192.0.2.232,Salesforce,Password,Success
900197,2026-06-22T10:56:57Z,1097,5115,198.51.100.57,Google Workspace,Password,Success
900181,2026-06-22T10:57:38Z,1089,5098,203.0.113.110,AWS Console,MFA Push,Success
900068,2026-06-22T11:00:23Z,1036,5037,198.51.100.198,Workday,SSO,Success
900315,2026-06-22T11:02:24Z,1158,5192,192.0.2.227,AWS Console,SSO,Success
900031,2026-06-22T11:02:36Z,1014,5044,192.0.2.3,AWS Console,OAuth,Success
900080,2026-06-22T11:03:05Z,1040,5009,203.0.113.206,AWS Console,Password,Success
900155,2026-06-22T11:04:50Z,1071,5079,192.0.2.170,Slack,MFA Push,Success
900211,2026-06-22T11:05:28Z,1102,5124,192.0.2.89,Workday,Password,Success
900335,2026-06-22T11:10:45Z,1167,5201,203.0.113.104,Internal Admin Portal,Password,Success
900309,2026-06-22T11:11:16Z,1153,5204,198.51.100.178,Salesforce,Passkey,Invalid Password
900227,2026-06-22T11:12:06Z,1107,,198.51.100.13,AWS Console,Passkey,Success
900101,2026-06-22T11:16:20Z,1050,5057,198.51.100.134,Salesforce,MFA Push,Success
900123,2026-06-22T11:19:08Z,1057,5085,198.51.100.117,Internal Admin Portal,Password,Success
900007,2026-06-22T11:20:49Z,1003,5030,198.51.100.120,Slack,Passkey,Success
900321,2026-06-22T11:20:53Z,1160,5189,192.0.2.194,Microsoft 365,Passkey,Success
900401,2026-06-22T11:23:11Z,1199,5261,203.0.113.157,Internal Admin Portal,Password,Invalid Password
900292,2026-06-22T11:24:27Z,1146,5168,198.51.100.216,Google Workspace,Password,Success
900327,2026-06-22T11:27:16Z,1162,5208,192.0.2.41,Google Workspace,Password,Success
900184,2026-06-22T11:27:41Z,1090,5114,203.0.113.102,Slack,MFA Push,Success
900060,2026-06-22T11:27:44Z,1031,5041,192.0.2.131,Slack,MFA Push,Success
900304,2026-06-22T11:30:16Z,1150,5210,203.0.113.81,AWS Console,Password,Invalid Password
900373,2026-06-22T11:30:42Z,1185,5236,192.0.2.65,Google Workspace,MFA Push,Success
900352,2026-06-22T11:35:05Z,1177,5239,198.51.100.187,AWS Console,SSO,Success
900167,2026-06-22T11:36:36Z,1078,5073,203.0.113.190,AWS Console,Password,Success
900170,2026-06-22T11:37:13Z,1079,5114,192.0.2.94,Slack,SSO,Success
900038,2026-06-22T11:39:11Z,1018,5046,198.51.100.31,Workday,OAuth,Success
900424,2026-06-22T11:39:23Z,1212,5261,192.0.2.179,Workday,Password,Success
900222,2026-06-22T11:41:48Z,1106,5126,198.51.100.231,GitHub Enterprise,Password,Success
900098,2026-06-22T11:44:42Z,1048,5095,192.0.2.142,ServiceNow,SSO,Success
900166,2026-06-22T11:46:37Z,1077,5074,203.0.113.18,ServiceNow,Password,Success
900316,2026-06-22T11:47:12Z,1158,5189,192.0.2.203,Microsoft 365,SSO,Success
900156,2026-06-22T11:48:39Z,1071,5088,203.0.113.158,Microsoft 365,Password,Success
900397,2026-06-22T11:49:41Z,1196,5213,198.51.100.189,Workday,SSO,Success
900218,2026-06-22T11:49:45Z,1105,5126,192.0.2.134,GitHub Enterprise,SSO,Success
900078,2026-06-22T11:51:21Z,1039,5030,198.51.100.128,Microsoft 365,Password,Success
900317,2026-06-22T11:53:51Z,1158,5183,198.51.100.31,Microsoft 365,MFA Push,Success
900213,2026-06-22T11:56:35Z,1102,5113,192.0.2.68,VPN Portal,SSO,Success
900345,2026-06-22T11:59:10Z,1173,5229,203.0.113.204,VPN Portal,OAuth,Success
900295,2026-06-22T12:00:36Z,1147,5206,203.0.113.94,GitHub Enterprise,SSO,Success
900208,2026-06-22T12:06:06Z,1100,5128,192.0.2.27,Slack,Password,Success
900203,2026-06-22T12:06:28Z,1099,5114,198.51.100.6,ServiceNow,MFA Push,Success
900240,2026-06-22T12:08:30Z,1118,5148,203.0.113.135,AWS Console,Passkey,Success
900041,2026-06-22T12:10:05Z,1022,5051,192.0.2.200,GitHub Enterprise,Password,Success
900285,2026-06-22T12:10:18Z,1142,5182,192.0.2.84,Internal Admin Portal,Password,Success
900024,2026-06-22T12:10:27Z,1012,5020,203.0.113.161,Google Workspace,SSO,Success
900079,2026-06-22T12:13:58Z,1039,5018,192.0.2.166,Google Workspace,SSO,Success
900206,2026-06-22T12:14:20Z,1100,5116,198.51.100.192,Workday,Passkey,Success
900408,2026-06-22T12:16:07Z,1201,5253,198.51.100.73,Google Workspace,SSO,Success
900280,2026-06-22T12:17:07Z,1140,,203.0.113.82,Internal Admin Portal,MFA Push,Success
900192,2026-06-22T12:21:07Z,1094,5114,198.51.100.145,Slack,SSO,Success
900050,2026-06-22T12:21:57Z,1027,5004,192.0.2.238,Microsoft 365,Password,Success
900147,2026-06-22T12:22:35Z,1069,5089,198.51.100.207,AWS Console,Passkey,Success
900248,2026-06-22T12:22:40Z,1123,5149,192.0.2.242,Workday,SSO,Success
900230,2026-06-22T12:24:12Z,1108,5154,203.0.113.107,GitHub Enterprise,Passkey,Invalid Password
900267,2026-06-22T12:24:52Z,1133,5176,198.51.100.85,Slack,Password,Success
900371,2026-06-22T12:25:25Z,1185,5217,203.0.113.217,VPN Portal,Password,MFA Timeout
900099,2026-06-22T12:25:57Z,1050,5055,203.0.113.38,Slack,Passkey,Success
900377,2026-06-22T12:27:08Z,1187,5235,203.0.113.176,Google Workspace,SSO,Success
900051,2026-06-22T12:27:12Z,1027,5009,203.0.113.93,Workday,Password,Invalid Password
900332,2026-06-22T12:27:47Z,1166,5190,192.0.2.234,ServiceNow,MFA Push,Success
900354,2026-06-22T12:29:45Z,1178,5219,192.0.2.211,GitHub Enterprise,Password,Success
900334,2026-06-22T12:31:15Z,1166,5207,198.51.100.76,Microsoft 365,SSO,Success
900257,2026-06-22T12:33:41Z,1127,5158,192.0.2.225,Microsoft 365,MFA Push,Success
900095,2026-06-22T12:35:53Z,1048,5056,203.0.113.154,ServiceNow,Password,Success
900195,2026-06-22T12:36:17Z,1096,5110,198.51.100.53,Google Workspace,SSO,Success
900009,2026-06-22T12:37:46Z,1003,5010,198.51.100.141,GitHub Enterprise,MFA Push,Success
900189,2026-06-22T12:38:32Z,1092,5112,192.0.2.250,Internal Admin Portal,Password,Success
900200,2026-06-22T12:39:21Z,1098,5129,198.51.100.72,AWS Console,Password,Success
900269,2026-06-22T12:39:22Z,1134,5182,192.0.2.227,Internal Admin Portal,MFA Push,Success
900385,2026-06-22T12:39:32Z,1189,5246,192.0.2.148,VPN Portal,SSO,Success
900391,2026-06-22T12:42:56Z,1192,5219,203.0.113.171,GitHub Enterprise,Password,Success
900234,2026-06-22T12:44:52Z,1114,5150,192.0.2.118,Slack,MFA Push,Invalid Password
900115,2026-06-22T12:45:36Z,1056,5074,203.0.113.92,GitHub Enterprise,Passkey,Success
900063,2026-06-22T12:46:56Z,1035,5002,203.0.113.250,ServiceNow,SSO,Success
900376,2026-06-22T12:48:02Z,1186,5218,192.0.2.9,AWS Console,MFA Push,Success
900081,2026-06-22T12:50:31Z,1041,5037,203.0.113.57,Slack,MFA Push,Success
900047,2026-06-22T12:53:15Z,1025,5044,198.51.100.97,AWS Console,MFA Push,Success
900262,2026-06-22T12:55:09Z,1130,5137,203.0.113.197,VPN Portal,SSO,Success
900249,2026-06-22T12:57:25Z,1123,5135,203.0.113.59,AWS Console,MFA Push,Success
900228,2026-06-22T12:59:58Z,1107,5148,203.0.113.241,Salesforce,MFA Push,Success
900053,2026-06-22T13:00:00Z,1028,5008,192.0.2.188,AWS Console,SSO,Success
900333,2026-06-22T13:00:26Z,1166,5184,198.51.100.123,Google Workspace,SSO,Success
900374,2026-06-22T13:01:06Z,1185,5215,203.0.113.84,Google Workspace,Passkey,MFA Denied
900380,2026-06-22T13:05:58Z,1188,5230,198.51.100.169,Salesforce,MFA Push,Success
900182,2026-06-22T13:06:27Z,1090,5128,203.0.113.105,GitHub Enterprise,OAuth,Success
900300,2026-06-22T13:08:32Z,1149,5208,198.51.100.4,Workday,Password,Success
900243,2026-06-22T13:09:55Z,1120,5142,198.51.100.6,Microsoft 365,MFA Push,Success
900342,2026-06-22T13:09:55Z,1171,5212,198.51.100.89,Workday,MFA Push,Success
900100,2026-06-22T13:10:13Z,1050,5061,203.0.113.38,Microsoft 365,MFA Push,Account Locked
900303,2026-06-22T13:10:29Z,1150,5192,198.51.100.175,Google Workspace,SSO,Success
900017,2026-06-22T13:11:59Z,1009,5002,198.51.100.238,GitHub Enterprise,Passkey,Success
900020,2026-06-22T13:14:22Z,1010,5025,203.0.113.76,AWS Console,Password,Success
900346,2026-06-22T13:15:07Z,1173,,192.0.2.144,ServiceNow,Passkey,Success
900190,2026-06-22T13:17:49Z,1092,5123,192.0.2.236,AWS Console,Passkey,Success
900217,2026-06-22T13:17:49Z,1105,5132,198.51.100.213,Google Workspace,Password,Success
900331,2026-06-22T13:18:38Z,1165,5208,192.0.2.23,Internal Admin Portal,SSO,Success
900162,2026-06-22T13:19:38Z,1075,5081,203.0.113.57,AWS Console,MFA Push,Success
900052,2026-06-22T13:19:46Z,1028,5015,198.51.100.20,,Passkey,Success
900219,2026-06-22T13:19:59Z,1105,5100,192.0.2.93,Slack,MFA Push,Success
900368,2026-06-22T13:24:27Z,1184,5225,192.0.2.134,AWS Console,Password,MFA Timeout
900091,2026-06-22T13:24:28Z,1046,5063,192.0.2.213,AWS Console,MFA Push,Success
900185,2026-06-22T13:26:35Z,1090,5128,198.51.100.148,VPN Portal,MFA Push,Success
900071,2026-06-22T13:26:44Z,1037,5030,198.51.100.20,Salesforce,Passkey,Success
900264,2026-06-22T13:29:26Z,1131,5182,203.0.113.143,Internal Admin Portal,Password,Success
900366,2026-06-22T13:32:36Z,1184,5248,192.0.2.231,Microsoft 365,MFA Push,Success
900032,2026-06-22T13:35:37Z,1014,5015,203.0.113.129,Google Workspace,MFA Push,Success
900369,2026-06-22T13:35:46Z,1184,,203.0.113.80,ServiceNow,MFA Push,Success
900379,2026-06-22T13:37:02Z,1187,5234,203.0.113.88,ServiceNow,SSO,Success
900120,2026-06-22T13:40:11Z,1057,5056,203.0.113.196,Microsoft 365,MFA Push,Success
900297,2026-06-22T13:42:42Z,1148,5203,198.51.100.137,Slack,SSO,Success
900246,2026-06-22T13:42:54Z,1121,5144,192.0.2.251,Salesforce,Password,Success
900231,2026-06-22T13:43:29Z,1108,5146,198.51.100.169,Salesforce,Password,Success
900419,2026-06-22T13:43:45Z,1208,5264,198.51.100.21,Slack,Passkey,Success
900161,2026-06-22T13:46:39Z,1075,5090,192.0.2.75,Microsoft 365,SSO,Success
900306,2026-06-22T13:46:43Z,1151,5189,203.0.113.3,Slack,MFA Push,Success
900130,2026-06-22T13:52:11Z,1063,5071,192.0.2.218,ServiceNow,SSO,Success
900014,2026-06-22T13:52:22Z,1006,5026,203.0.113.58,Salesforce,MFA Push,Success
900344,2026-06-22T13:53:35Z,1172,5230,198.51.100.59,Internal Admin Portal,Password,Success
900116,2026-06-22T13:54:10Z,1056,5088,203.0.113.207,VPN Portal,Password,Success
900092,2026-06-22T13:55:36Z,1046,5096,198.51.100.6,GitHub Enterprise,Password,Success
900193,2026-06-22T13:57:37Z,1095,5128,192.0.2.174,Salesforce,Password,Success
900111,2026-06-22T14:00:30Z,1053,5094,198.51.100.183,VPN Portal,Passkey,Success
900075,2026-06-22T14:05:45Z,1038,5023,192.0.2.8,AWS Console,MFA Push,Success
900148,2026-06-22T14:06:01Z,1069,5056,198.51.100.175,Microsoft 365,Password,Success
900132,2026-06-22T14:07:25Z,1063,5082,198.51.100.167,Workday,SSO,Success
900129,2026-06-22T14:07:53Z,1062,5084,203.0.113.26,VPN Portal,OAuth,Success
900365,2026-06-22T14:07:58Z,1183,5248,203.0.113.242,GitHub Enterprise,Password,Success
900172,2026-06-22T14:09:47Z,1081,5120,198.51.100.60,Microsoft 365,Password,Success
900093,2026-06-22T14:10:56Z,1046,5057,203.0.113.229,Slack,OAuth,MFA Timeout
900165,2026-06-22T14:11:42Z,1077,5056,192.0.2.65,Slack,MFA Push,Success
900360,2026-06-22T14:18:23Z,1181,5237,203.0.113.57,ServiceNow,OAuth,Success
900266,2026-06-22T14:18:39Z,1132,5182,203.0.113.93,Internal Admin Portal,SSO,Success
900188,2026-06-22T14:18:45Z,1092,5101,203.0.113.239,VPN Portal,Passkey,Success
900251,2026-06-22T14:19:44Z,1123,5149,203.0.113.239,VPN Portal,MFA Push,Success
900037,2026-06-22T14:20:12Z,1017,5017,203.0.113.101,Google Workspace,MFA Push,Success
900247,2026-06-22T14:20:31Z,1121,5150,203.0.113.6,Salesforce,Password,Success
900173,2026-06-22T14:23:24Z,1081,5127,203.0.113.163,Microsoft 365,Password,Success
900023,2026-06-22T14:24:00Z,1011,5025,192.0.2.147,Salesforce,SSO,Success
900186,2026-06-22T14:25:50Z,1092,5101,192.0.2.121,VPN Portal,MFA Push,Success
900325,2026-06-22T14:26:00Z,1161,5189,203.0.113.130,Salesforce,OAuth,MFA Timeout
900364,2026-06-22T14:27:02Z,1183,5213,192.0.2.17,Slack,Passkey,Success
900288,2026-06-22T14:28:11Z,1143,5175,198.51.100.84,Salesforce,Passkey,Success
900158,2026-06-22T14:28:31Z,1072,,203.0.113.137,GitHub Enterprise,MFA Push,Success
900022,2026-06-22T14:28:35Z,1011,5027,203.0.113.201,Salesforce,Password,Success
900169,2026-06-22T14:34:12Z,1079,5102,203.0.113.149,Salesforce,SSO,Success
900313,2026-06-22T14:34:14Z,1158,,198.51.100.175,Google Workspace,Password,Success
900097,2026-06-22T14:34:24Z,1048,5077,198.51.100.58,ServiceNow,Password,Success
900238,2026-06-22T14:34:36Z,1117,5149,198.51.100.193,GitHub Enterprise,Password,Success
900005,2026-06-22T14:34:46Z,1002,5004,192.0.2.49,Workday,MFA Push,Success
900250,2026-06-22T14:36:09Z,1123,5142,192.0.2.149,Internal Admin Portal,MFA Push,Success
900235,2026-06-22T14:37:15Z,1114,5158,203.0.113.20,Workday,Password,Success
900056,2026-06-22T14:37:46Z,1029,5028,192.0.2.142,ServiceNow,SSO,Success
900308,2026-06-22T14:38:40Z,1152,5186,203.0.113.145,Salesforce,SSO,Success
900025,2026-06-22T14:39:12Z,1012,5009,198.51.100.206,Workday,Password,Success
900104,2026-06-22T14:39:38Z,1050,5078,192.0.2.191,Microsoft 365,MFA Push,Success
900096,2026-06-22T14:40:18Z,1048,5083,203.0.113.68,Salesforce,Password,Success
900294,2026-06-22T14:41:51Z,1146,5177,198.51.100.142,Internal Admin Portal,OAuth,Success
